item,reconstruction_or_headword,gloss,attestations,notes,external_comparanda,discussion
107,*(h₁)reugh-,"‘sour-milk, butter’","ON rjúma ‘cream’; (?)Lith. ráugas ‘sourdough, acid,’ (?)Latv. raûgs ‘yeast, lye’, (?)OPrus. ructan-dadan ‘sour-milk’; Av. raoγna-","The Baltic forms are traditionally ascribed to a different set of cognates (cf. Fraenkel 1965: 705f.), but certain collocations seem to indicate that the inherent meaning did, indeed, pertain to dairy (Schmalstieg 1976: 278f.). The distribution limited to Germanic, Iranian, and likely Baltic is suspicious, but otherwise the connections appear to be reasonable. The initial laryngeal is posited to avoid a solitary *r- in the onset, but is not directly warranted by any of the attestations.",North Caucasian: *renχwV- > e.g. Budukh juχ ‘milk’ (S. Starostin 2009: 103),"Formally this connection requires that PIE *-Vgʰ- is represented by North Caucasian *-nχ-, which is not inconceivable. More important, however, is the apparent mismatch of categories, where the nominal forms in Germanic and Avestan have derivational suffixes, suggesting a verbal basis, whereas the North Caucasian comparanda, supposedly exported, are basic nouns. Representing a certain technique in the treatment of dairy, this item is comparable to *twer- ‘curdled milk, curds’ (item 125), and can roughly be assigned the same distributional patterns. The connection, though tantalizing, requires further circumstantial evidence. *(h₁)raudh- ‘copper’, see item 38 under *h₁- *(w)ruĝh- ‘rye’, see item 135 under *w-"
108,*sekur-,‘battleaxe’,Lat. secūris; OCS sekyra,"The Latin term is easily ascribed to a nominal derivation to the verb secō’ to cut, sever’ (e.g. de Vaan 2008: 550f.), and a similar formation may be posited for Slavic (cf. von Miklosich 1970: 290 and Vasmer 1955: 603), but the exact derivation of either remains obscure. There is no evidence pointing to an old item within PIE.","Semitic: Akk. šukurru ‘javellin’, Heb. seḡōr","Gamkrelidze & Ivanov suggest that the term was transferred into (P)IE from a Semitic language (1995: 771), though possibly ultimately from Sumerian (cf. von Soden 1981: 1266). The semantic discontinuity (Diakonoff 1985: 126) and the possibility of internal derivation in Latin and Slavic makes the connection untenable, although the effects of folk-etymological reinterpretation cannot be excluded as the primary factor in connecting a borrowed ‘axe’ with the native *sekʰ1- ‘to cut’. Most probable, however, seems a transfer into Old Latin (cf. Makkay 1998: 183 fn.3) that continued to the proto-Slavic speech community."
109,*septm̥ ‘seven’ (see § 5.7),,,,,
110,*(s)gʷes-,‘to extinguish’,"(?)Hit. kist- ‘to perish, be extinguished’; Toch. A käs- ‘to go out’, Toch. B kes- ‘id.’; Goth. qist ‘destruction’; Lith. ge ̨sti ‘’to go out’; OCS u-gasiti; Gr. σβέννῡμι; Ved. jásate ‘be extinguished’.","Disregarding the rather elusive s- mobile in Greek (cf. Beekes 2010: 1315 and Chantraine 1968: 992), this collection of IE comparanda is still not formally compatible, and they likely have to be split into two or three groups depending on the quality of the initial velar and possibly also semantics. While the satəm languages pose no problem, the unmistakable labiovelars of Greek and Gothic cannot be united with the Hittite material. According to Adams, the Tocharian forms may be interpreted either way and could thus be ascribed to both *K and *Kw (2013:118). Additional evidence may then be drawn from the exclusive Hittito-Tocharian cognates for ‘hunger’ (Hit. kāst- and Toch. A kaṣt, Toch. B kest-), that in Anatolian clearly belongs with the verb form ‘to perish’ (Kloekhorst 2008a: 461ff., who reconstructs *gʰósd-), but in Tocharian may well be isolated from the verb forms from *gʷes. It thus seems that the most attractive fault line runs through Tocharian, and that this root consequently is without Anatolian evidence.",NW Caucasian: *k'oasa 'go out; escape' Kartvelian: Georgian-Zan *ḳwes ‘to strike fire’,"Proposed as an indication of proto-linguistics contacts between PIE and the NW Caucasian proto-language (Bomhard 2015: 35), there is seemingly no common North Caucasian root for the comparandum (NCED), which makes a direct comparison with PIE problematic for chronological reasons. Whereas the phonetic correlation could be attractive as a later loan from a centum language, semantics, especially in the Abkhaz branch (‘hardened wood’, Bomhard 2015: 35), complicate matters. Kartvelian, on the other hand, is a perfect opposite semantic match (cf. Fähnrich 2007: 240), but there is no reason to dismiss the proposed connection (Smitherman 2012: 508) on the semantic lopsidedness alone. The reflex of PIE *gʷ is then *ḳw- as opposed to *p-, purportedly in pur for PIE *gʷou- ‘cow’ (item 30), which almost certainly means that, if viable at all, the transfers belong to different strata. The fact that the forms are only represented in Mingrelian and Georgian, failing the cladistic requirement of attestation in Svan for secure Proto-Kartvelian reconstruction (Fähnrich 2007: 240), does seem to corroborate a later transfer. Essential for the Kartvelian connection is the retention of the initial labiovelar of PIE at the point of transition, a feature that is generally lost in the IE branches historically present in the region. This item is phonetically comparable to the Kartvelian comparandum under PIE *kʷep- ‘smoke’ (item 82). *(h₂)(s)kwal-o-s ‘catfish’, see item 78 under *kʷ-"
111,*skel(H)-,‘to owe’,"Goth. skal ‘is guilty, must’; OLith. skelù ‘to be guilty’",Very limited distribution in only Baltic and Germanic suggests regional phenomenon.,"Uralic: FU *kelke- ‘shall, must’ > e.g. Saami galga ‘shall, must, need’, Hung. kell- ‘id.’","Both Koivulehto (2001: 236f.) and Sammallahti (1998: 242) adduce PIE provenance of this Fenno-Ugric root and point to the velar reflex of an ostensible PIE laryngeal, but there is no other evidence that could help justify its reconstruction to such an early stratum. IE evidence could, however, defend a regionalism that predates the phonetic diversification of Germanic and Baltic (or Balto-Slavic), respectively, with retention of the laryngeals. Such a stratification might also work with the western distribution in Uralic, where the lack of evidence in Samoyedic as well as Ob-Ugric may render Hungarian a later contact induced phenomenon. Direction of transfer is indicated by the more complex initial cluster in IE. This item surely does not belong to the earliest strata of PIE."
112,*smók̂-ur,‘beard’,Hit. zama(n)kur; Lith. smãkras ‘chin’; Alb. mjekër; Arm. mawrow-kʿ; Ved. śmáśru-.,"According to Kloekhorst, the Anatolian evidence suggests that metathesis has reshaped the desinence in Core-IE (2008: 1029). Altogether less consequential is the assimilation of the initial sibilant in Vedic.",NE Caucasian: *moč̣ r̥,"The simplification of the initial cluster is suggestive of a loan direction from a stage of IE (be that proto-linguistic or dialectal) to NE Caucasian, that disallowed such features (Dolgopolsky 1987:18). Nikolayev & Starostin has a somewhat different reconstruction in *mēc ́_uri (~-ī-) (NCED s.v.) that notably seems to mirror the ending proposed for early PIE. A strict interpretation hereof requires that the transfer into NE Caucasian occurred before the Core-IE metathesis, albeit such a stratum would be more desirable with NW Caucasian cognates."
113,*snéh₁ur,"‘tendon, vein’","Toch. B ṣñor; Lat. nervus; Gr. νεῦρον; Arm. neard; Ved. snāvan-, Av. snāvarə.","Necessarily old within PIE, this item is possibly a derivation of the verb *sneh₁(u)- (Mallory & Adams 1997: 568), but notably lacking any Anatolian comparanda (Kloekhorst 2008a: 395f.).",Uralic *se̮ne,"Not unlike the situation with ‘name’, there is no obvious point of transfer in either direction (cf. Kortlandt 1989: 81). Rédei’s connection to Tocharian (1988: 652) is implausible, and Indo-Iranian is disqualified on sequence and vocalism. The PIE reconstruction is itself structurally different, and the use of anaptyxis to break up a foreign initial cluster is unwarranted as Uralic languages demonstrably simplifies such constructions (cf. *skel(H)- ‘to owe’, item 111). This situation has led scholars to suggest that the root is evidence of common Indo-Uralic heritage, e.g. Helimski (2001: 196 fn.19) and Collinder (1965: 122), the defence of which, of course, requires an explanation of the loss in Anatolian."
114,*snusós,‘son’s wife’,Lat. nurus ‘(grand)son’s wife’; ON snør; Rus. snocha ‘id.; bride’; Gr. νυός ‘id.’; Arm. nu; Ved. snuṣa ́ ‘daughter-in-law’,"Internal explanations have been suggested, most probably an unattested verbal root *sneu-, yet consequently related to the *-bʰ-extended forms in Latin nūbō ‘wed, veil’, Rus. CS snubiti ‘to court, love’, and Alb. nuse ‘bride’ (Mallory & Adams 1997: 148). Cognates are missing in Anatolian and Tocharian. The old o-stem suggests that the formation predates the core-IE innovation of the feminine gender *-eh₂ (on the significance of fem. o-stems, see e.g. Clackson 2007: 105).",NW Caucasian: *nəsa '(father's) brother's wife; id.' (Bomhard 2015: 42) NE Caucasian: *nusV (Dolgopolsky 1987: 20) HU: *nas- > Hur. naž-ardǝ ‘concubines’ Kartvelian: *nusa > Laz nusa (ibid.),"Despite strong semantics and good cognates across Caucasia, the question ultimately comes down to chronology and whether the term was introduced from PIE or only a later IE daughter language, likely either Iranian or Armenian (Matasović 2012:288f.). The Caucasian correlates all miss the initial sibilant, which suggests that either the etymon was borrowed directly from an IE dialect without, e.g. early Armenian, or that the primary recipient language disallowed such phonotactics, e.g. NE Caucsian (Dolgopolsky 1987:21). The Hurrian cognate has been suggested by Nikolayev & Starostin, Hur. naž-ardǝ 'concubines' < HU *nas-, further connected with Arab. niswa ‘women’ and Turkish nisa ‘id.’ as evidence of “an old Eurasiatic Wanderwort” (NCED s.v.), but veers significantly from the PIE and North Caucasian forms both formally and semantically, demanding individual treatment for these Middle Eastern items that can hardly be considered cogent with PIE ‘daughter-in-law’. Although a complete loss in Hittite and its consanguines is feasible, perhaps due to a renewed cultural framework (cf. Gamkrelidze & Ivanov 1995:676ff. and Bremmer 1976), it nonetheless seems preferable that the lexeme emanated to, and consequently also from, PIE in time after the departure of Anatolian. A borrowing from Caucasian is nonetheless highly unlikely given the more complex stem in PIE, and the fact thus remains that a truly ancient source of the Caucasian stock is difficult to substantiate due to the uniform structure across the three different families, and a borrowing into an ostensible North Caucasian proto-language, which would be required to satisfy the temporal side of the argument, is expected to show considerably more dialectal variation. A tantalizing cultural artifact, *snusós, although of an old IE stratum, must thus be considered a later borrowing into the Caucasian languages where the internal relations remain elusive (Dolgopolsky 1989: 28 fn.20)."
115,*sor,‘girl’,"PIE *swe-sor ‘sister’; Lat. uxor ‘wife’; Av. hāriši ‘girl, female’","Benveniste suggests connection with Ved. strí- ‘woman’ < *sr-ih₂ (1969: 215), but the obvious Avestan cognate strī- makes this suggestion untenable (Mayrhofer 1996: 763). PIE provenance is substantiated by the widespread lexeme *swe-sor ‘sister’ (missing only in Anatolian, cf. Szemerényi for a thorough discussion, 1991:107-122), literally ‘own-girl’, possibly also Latin uxor ‘wife’ (see de Vaan for an etymological discussion 2008: 648f.); Pârvulescu prefers an interpretation of the *-sor element in ‘sister’ as ‘blood’ (1989: 71ff.) that, however, lacks convincing cognates and thus remains wholly unconvincing. A series of feminine ordinals may similarly contain the item, cf. OIr. cethe-oir and Ved. cata-sr-a < *kʷete-sor ‘fourth (fem.)’ (Benveniste 1969: 215), akin to the feminine derivative in Hittite, cf. ḫassu-ssar-a ‘queen’ from ḫassu- ‘king’. If ‘sister’ is then transparent within PIE and Anatolian seemingly did not partake in that innovation, it begs the question whether the Hittite translation neka-is somehow more ancient within PIE; why the substitution occurred is elusive, but the ‘own-girl’ may have been part of a restructuralization of the social roles. A possible comparandum for Hittite may be found in Uralic *niŋä ‘wife, woman’ (cf. UEW 305f.), albeit with questionable semantic discontinuity (cf. a parallel situation in the discussion immediately below).",NW Caucasian: *(w)śəmc'a 'woman' (Colarusso 1997: 145f.) North Caucasian: *s_wēsǝ ‘bride’ > e.g. Chechen sesag,"The argument for the reconstruction of a PIE *sor ‘girl’ is convincing, which renders Colarusso’s Proto-Pontic connection to *swe-sor obsolete. Fortunately, at least from a methodological point of view, Colarusso himself allows for a dismissal of this connection if *sor can be distilled for PIE (1997: 146 fn.6). Matasović rather treats the word as continuation of a loan of the entire root *swe-sor into North Caucasian as *śwasa ‘wife’ (2012: ## 289 fn.15) that suspiciously resembles the Vedic reflex svasā-, but here the quality of the first vowel may have been inspired by the perceived donor language, cf. how both the Nakh and Lezgian branches agree on the e-vocalism (NCED s.v. ‘bride’). A connection necessarily would have to emanate from PIE on the internal reconstruction and requires a semantic shift from ‘sister’ to ‘bride’ which could be tied to inter-marriage."
116,*spen-(d-),"‘to plait, spin’","Toch. A pänw- ‘draw out, stretch’, Toch. B pänn- ‘id.’; Goth. spinnan; Lith. pìnti; Rus. pyat’; Alb. pe ‘thread’; Gr. πένομαι ‘to toil (with household tasks)’; Arm. hanum ‘weave, bring near’","Without Anatolian data, this root nonetheless appears stable from after the initial split. Italic and Balto-Slavic seem to agree on an extension of the root (de Vaan 2008: 457)","Uralic: *puna > Saami botni-, Proto-Samoyed *pə̑n-Yukaghir: *pun ‘to tell’ (Nikolaeva 2006: 370, UEW 402)","The pan-Uralic and Yukaghir cognates, the latter with notable semantic change (although hardly improbable, cf. Modern English to spin a story), could potentially trace this set far back in time. Borrowing can realistically only have occurred from PIE into Uralic due to complexity (as indeed is the suggestion, cf. Koivulehto 2001:236), and only at a decisively ancient point in time as part of a cultural diffusion; within such a paradigm, however, the dearth of comparanda in other linguistic phyla of the area (e.g. Turkic) is noteworthy."
117,*spongʰ-,"‘mushroom, sponge’ PIE (1) *sp(h)ong-","Lat. fungus; Gr. σπόγγος; Arm. sownk; (?)Ved. paṅgú ‘lame, crippled’",The formal problems in connecting the forms nonetheless fall short of dismantling the ultimate connection; only Vedic can rightfully be questioned within this context on semantic grounds. PIE (2) *suómbh-,"Uralic: *paŋka > e.g. Mari poŋgə̑ and possibly Nganasan fanka- ‘drunk’ (Joki 1973: 300f.) Kartvelian *c umb- ‘to become wet, soaked’","The disparate yet somehow similar attestations support the consistent practice of identifying the item as non-native within IE in the standard etymological dictionaries (e.g. Beekes 2010: 1385, de Vaan 2008: 250), and there is ample reason to assume that the Uralic forms are somehow connected. A comparison with the spread of ‘orphan’ (item 62) from late PIE into FU could establish the relevant stratum for a transfer, while a loan from Uralic into IE is harder to substantiate given the initial cluster in IE. The Kartvelian form, suggested by Klimov (1998: 302), is less appealing, partly due to its semantic discontinuity, but an old Wanderwort could account for the spread as well as the internal IE inconsistencies, which may be corroborated by the exclusive distribution in European IE and Armenian; Kroonen thus suggests that the word stems from a substrate present in Europe before the arrival of the Indo-Europeans, which similarly makes a loan from (P)IE into Kartvelian implausible (2013: 495)."
118,*(s)teuros,‘bull’ PIE (1) *steuros,"OHG stior; Av. staora- ‘large (domestic) animal (i.e. horse, ass, cow, camel)’","The suggested Avestan correlate to OHG stior may also derive from *steh₂uro- ‘big’ (Kroonen 2013: 478), which would render the Germanic forms isolated. PIE (2) *tauros","Semitic: *tawr > Akk. šūru, Arab. tawr, Heb. šôr, etc. (Bomhard 1981: 416) Semitic (alt.): Arab. ṭaraḳa ‘to impregnate (of camels)’ (Schott 1936: 78) NE Caucasian: *stw- (Nichols 1997: 143)","The very obvious correlation between the Semitic and IE forms certainly suggests them as related, obvious even to philologists (Levin 1995, cf. § 3.2.6). The nature of this relation, however, is disputed. Schott’s attempt at a connection with Arabic ṭaraḳa ‘to impregnate (of camels)’ to substantiate internal semitic derivation (1936: 78) is improbable, potentially even more so in light of Militarev & Kogan’s Afro-Asiatic reconstruction (2005:307ff.) that nonetheless requires some semantic leniency, covering both ‘elephant’ (Central Chadic) and ‘rhinoceros’ (Northern Omotic), but it is noteworthy that Orel & Stolbova do not include to form (1995), and Lipińsky seems to share this uncertainty of origin (1997: 561). The two disparate PIE words, although clearly related, seem to have entered the language at two different stages; *steuros likely prior to *tauros, where the latter is phonetically less complex and also brands a-vocalism. Dolgopolsky initially considered the IE complex descendants of a single form borrowed directly from proto-Semitic into PIE (1987: 14), but later suggested only partial common heritage for Semitic and PIE that was subsequently confounded by a loan (1993: 244). Weak Indo-Iranian evidence, however, as well as a complete lack of Anatolian and Tocharian cognates, question the antiquity of the noun in PIE while the Semitic provenance itself may be inhibited by the questionable nature of the Afro-Asiatic evidence for the root. Alternatively, Kroonen suggests that the e-vocalism in Germanic *steur- and *teur- is a consequence of raising from an otherwise unidentified donor language (cf. Haarmann 1994: 269f. and the treatment of *gʰaid-, item 21) that similarly shows up in Etruscan thevru- (2013: 540), and may additionally account for the Germanic forms with initial s- from a foreign spirant not found at the recipient stage of the language (2013: 478). Nichols’s suggestion of a NE Caucasian*stw- (1997: 143) is tantalizing as it seemingly reflects the sporadic s-forms in IE, but the root is not included by Nikolayev & Starostin (NCED) and has not been validated."
119,*súH-,‘pig’,"Toch. B suwo; Lat. sūs; Welsh hwch; ON sýr ‘sow’; OPrus. swintian; OCS svinū; Alb. thi; Gr. ὗς, σῦς (var.); Ved. sūkará-, Av. hū-.","Only lacking in Anatolian (possibly hiding behind Sumerograms) and Armenian, the word has old status in PIE and has been proposed connected to the verbal root *seuH- ‘to bear, bring forth’. Although Mallory & Adams criticize that it appears not to be restricted to the sow (1997: 425), semantic widening may well have rendered the term more general already before the breakup of PIE. More problematic is the fate of the laryngeal that is missing, formally inadmissibly, in some derivational forms, and a more onomatopoetic origin may alternatively be posited (e.g. Mańczak 2000: 232f.), a notion which Beekes denies (2010: 1425).","Kartvelian: *(h)ešw- > Georgian ešw- ‘tusk’, Mingrelian o-sk-u ‘pigsty’ Sumerian: šáḫ(a)","The semantics of Kartvelian are marked by great dispersal, but Klimov seems right to connect ‘tusk, fang’ and ‘pigsty’ under a common denominator ‘(wild) boar’ (1998: 48), according to Fähnrich also attested in Old Georgian (2007: 152), which suggests an early transfer to account for the divergence that nonetheless cannot directly be honored since the item is lacking in Svan and thus, conservatively, may only be secured for Georgian-Zan; a loss in the Svan language is, of course, conceivable, and must be posited for the relation to be of PIE date as Gamkrelidze & Ivanov suggest (1995: 774). Kaiser & Shevoroshkin prefers common heritage from Nostratic with the common meaning ‘to give birth’ (1986: 369), but this scenario requires that Kartvelian independently innovated the same meaning, which is hardly preferable to a loan from early middle PIE where the meaning already had been attained. A borrowing in the opposite direction, i.e. from (antecedent of) Kartvelian is theoretically possible, and may be corroborated by the archaeological data (Anthony 2007: 285f.). The Sumerian comparandum is semantically unproblematic, but likely requires the reconstructed PIE laryngeal questioned by some. The item may well be the same in all three families (cf. Sahala 2009: 10) and have travelled from a Middle Eastern origin at an early date, although the exact origin, possibly related to the spread of agriculture, remains elusive."
120,*(s)wek̂s ‘six’ (see § 5.6),,,,,
121,*swek̂uro-,‘father-in-law’,"ΟLat. socerus; Welsh chwegrwn; Goth. swaíhra; Lith. šẽšuras; OCS svekrъ; Alb. vjehërr; Gr. ἑκυρός; Arm. skesr-ayr ‘mother-in-law’s husband’; Ved. śváśura-, YAv. xvasura-","Beekes considers it likely that the first element is the reflexive *swe- (2010:399), which is formally unproblematic, but leaves the second part, *-k̂uro-, unaccounted for. Szemerényi suggests that it is related to the PIE word for ‘head’ (and ‘horn’, item 68), and is to be seen from the displaced wife’s perspective (1991:1462), but the connection has not been widely accepted; formally more problematic is Pârvelescu’s connection with *kru ́- ‘blood’ (1989:79ff.). Although decisively Indo-European in the strictest and 19th century sense of the word, obvious cognates are missing in Anatolian as well as Tocharian; an external source or internal derivation may then tentatively be sought to account for its appearance.","NE Caucasian: *swic ̣̌c ̣̌V > Tabasaran siǯar, Archi šekerttu ‘cousin’, Chechen šiča ‘id.’, Ingush šuča ‘id.’ (Dolgopolsky 1989: 27).","The connection was proposed by Dolgopolsky as an early Indo-Iranian loan into Proto-NE Caucasian(1989: 27), but no linguistic traits demand any real kind of dialectal differentiation (§ 1.3.2.13); the obstruent is simply palatalized, whatever phonetic consequences it has, which answers the PIE reconstruction, and there is no sign of the a-vocalism that irrevocably sets Indo-Iranian apart from its parent stage (as opposed to the ostensible reception of *ĝemH- ‘son-in-law’, item 16). Semantics shroud the better part of the NE Caucasian material (‘cousin’ rather than ‘father-in-law’), and there is little evidence to maintain that such a shift has happened to a borrowing with otherwise very concrete and stable semantic value. Without a common North Caucasian root, it is difficult to defend a loan relation in the opposite direction, i.e. into PIE from Proto-NE Caucasian."
122,*tek(?)-(s)-,‘to craft’ PIE (1) *tek̂s-,"Lith. tašaũ; OCS tešǫ; Gr. τέκτων ‘craftsman’, Myc. te-ko-to-no ‘id.’; Ved. tāṣṭi, Av. tāšt.","Despite the shallow resemblance (Mayrhofer 1986: 613f.), the cluster in this root does not formally compare with *tek- ‘the weave, braid’ (cf. LIV2: 619f., 638f. and Kloekhorst 2008a: 814f.). This analysis leaves the root without cognates in both Anatolian and Tocharian, and the attestations are even confined to two uncontroversial dialect groupings, viz. Balto-Slavic and Graeco-Aryan. PIE (2) *tek- ‘weave, braid’","Kartvelian: Georgian-Zan *txaz- ‘to plait, weave, compose’","Kartvelian *x representing PIE *k̂ may be regular, cf. *(h₃)ok̂tō- ‘eight’ (§ 5.8). Semantically, both the broad (‘craft, make’) and specialized (‘plait’) meanings are represented in both families (Klimov 1994: 476, 1998: 76f.). It is not inconceivable that a technical item like this could be borrowed. Strict chronological adherence to the cladistic evidence in Kartvelian suggests that the item is a late entry, but similar conclusions could be drawn for PIE if the relevant root is lacking in Anatolian. The great similarity of all constituents of the root in Old Persian certainly suggests that the transfer only occurred late, although here, again, the semantic match is less than convincing. All things considered, this comparison is attractive, but with continued uncertainty regarding the development and dispersal of forms and meaning within IE, the exact circumstances of the borrowing remains elusive. Fairly safe is the directionality from (P)IE to Kartvelian."
123,*tep-,"‘to be warm, hot’","Lat. tepeō; OIr. té ‘hot’; Rus. topít ‘heat, melt’; (?)Alb. f-toh ‘to cool’; Ved. tápati, Av. tafsa-","Without Anatolian and Tocharian cognates, this root nonetheless spans the classical PIE world.",Kartvelian *ṭep- (see Fähnrich 2007: 396f. and Klimov 1998: 186 for attestations),"This comparison is both formally and semantically attractive, although the circumstances conducive to the transfer of such a common verb are elusive. Chronologically IE evidence points to a phenomenon that postdates the earliest forms of the proto-languages. Of the alternatives, chance resemblance and common heritage, the former is more attractive as proponents of deep ancestry face lack of evidence in both Anatolian and Tocharian, required to secure the oldest strata for PIE, while a loan from Kartvelian to late middle PIE seems straightforward, answering all formal requirements. *(s)teuros, see item 118 under *s-"
124,*tuék,‘body’,"Hit. tuekk-, Lyc. tukedri- ‘statue’; Gr. σάκος ‘shield of leather, skin’; Ved. tvác- ‘skin’","The very limited distribution is weighed up by the fact that the Anatolian material is matched in Graeco-Aryan. One of the strains has experienced a slight semantic drift. The vocalism of Greek and Anatolian are incompatible, but the former must be expected to reflect the inherited quality of the Indian vowel, too.",NE Caucasian: *c c ə̃kwV ‘hide’ > e.g. Avar c ̱oko,"The direction of the semantic shift in IE is of tantamount importance to the stratification of the East Caucasian comparandum suggested by S. Starostin (2009: 85) since it clearly matches the Graeco-Aryan meaning much better than that of Anatolian. The vowel quality in Anatolian, on the other hand, seems to mirror that of East Caucasian, but all things considered a loan from late PIE to East Caucasian seems the strongest alternative."
125,*twer-,"‘curdled milk, curds’","Rus. tvaróg ‘quark’; Gr. τῡρός ‘curdled milk’; Ved. tuvara- ‘astringent’, Av. tūiri-","Attestations only pertinent for the Graeco-Aryan and Slavic branchings, this produce term nonetheless appears to be reconstructable for late or late middle PIE. On the somewhat discontinuous semantics in Vedic, it may be noted that Middle Indic continuations retain the meaning ‘cheese’ (Turner 1966: 336). A case for an internal verbal derivational basis has not been satisfactorily posited (cf. Mallory & Adams 1997: 382f.). The phonetic structure is void of phonemes that represent the telltale developments of the pertinent dialects, and a wanderwort phenomenon cannot formally be excluded; the modern English word quark is similarly assumed to have travelled from Slavic through Middle High German.","North Caucasian: *ˀV-twVr- ‘to become rolled up, turn sour, rot, putrefy’ > e.g. Archi tar-as ‘to roll up (of milk)’","A North Caucasian origin of this term, as suggested by (S. Starostin 2009: 102) seems rather attractive as a technical term that emanated from the Caucasus, where the verbal derivational basis is transparent. The prefix here has to be discarded to fit the IE attestations, but this seems a minor problem; verbal roots normally interact more extensively with prefixes than nominals do (cf. Nikolayev & Starostin 1994: 82ff.). The possible linguistic fixpoints allow for a very concrete chronological hypothesis: The item likely departed from North Caucasian and entered either late PIE or, alternatively, differentiated IE languages still in close contact, and lastly reached the Germanic languages through Slavic."
126,*ukʷs-,‘ox’,"Toch. A ops-, Toch. B okso; Welsh ych; Goth. aúhsa ‘bull’; Ved. ukṣán, Av. uxšan-","The connection with Skr. ukṣati ‘sprinkles, wets’ (e.g. Gamkrelidze & Ivanov 1995:483), semantically linked as ‘breeding bull’, is weakened by its use which inclines towards spayed specimens. Note also that Indo-Iranian employs an obvious root of virility to denote breeders, cf. Vedic vŕ̥ṣaṇau ‘testicles (du.)’ and vŕ̥ṣā- ‘bull’. The item is without Anatolian cognates.",Kartvelian: *usx-,"Klimov’s connection of the common Kartvelian *usx- as a metathesized version of a dialectal IE loan word (1998: 196; he thus seems to have departed from the earlier notion of a loan directly from PIE, cf. 1994: 476) is especially attractive in light of the semantics, Old Georgian ‘ox, bull-calf (fattened for slaughter)’ and Svan ‘sacrificial ox’ (2008: 195), that position the term within the cultural sphere, pertinent to ritual bull slaughter that was widespread in the IE world (Gamkrelidze & Ivanov 1995: 492ff.), but it is noteworthy that the all IE references to the ritual is from the cow root (item 30). Formal correspondences among the proposed Kartvelian comparanda allow for a more thorough evaluation of certain elements; there are instances where Kartvelian *-x- seemingly reflects PIE *k̂ (cf. *ok̂tō-‘eight’, § 5.8, and ‘craft’, item 122), but while the velar may be labial in the present form, it is difficult to reconstruct a palatalized version. Opposing Klimov, Greppin points to these Kartvelian formalities, namely the fricative x as an Iranian development rather than Proto-Kartvelian **-k- or **-p- (see discussion of ‘cow, item 30) directly from PIE *-kʷ-, and specific cultural evidence (bull-slaughtering rituals in the Gathas, Yasna 29.1 & Yasna 29.6) in asserting that the item only emanated as a later loan from Iranian (1997). Although the cultural connection is fraught with the lexical problems mentioned above, the velar replacement is difficult to ignore."
127,*ul̥h₂neh₂,‘wool’,"(?)Hit. ḫulana-, (?)CLuw. ḫulana/i-; Lat. lāna; Welsh gwlan; Goth. wulla; Lith. vìlna; OCS vlŭna; Gr. λῆνος; Ved. u ́rṇa-, Av. varənā-","While the Anatolian connection recently has enjoyed special and thorough attention by Pinault (2016) who provides a relatively shallow PIE genesis for the term, the formal correspondences have also been questioned, e.g. by Kloekhorst on formal grounds (2008a: 357f.), but the overall resemblance and direct semantic match does make the comparison worth entertaining.",NE Caucasian: *ƛ̱wähnɨ > e.g. Avar ƛ̱uh (S. Starostin 2009: 84) Sumerian: ú-li-in / wux-li-in ‘colored twine/wool’,"According to Mallory & Adams (1997: 648) wool is not a naturally occurring material, but was dependent on the domestication and breeding of certain strains of sheep that appear to have been kept only in the fourth millennium BCE. This chronology is of some influence on the spread of the IE languages whose earliest historical identification is Anatolian in the late third millennium BCE. The exact sequence of the PIE reconstruction is also of great consequence to the strength of this comparison, but may, if viable, even be informed by the NE Caucasian material (the connection is continued by Matasović 2012: 290f.); metathesis is required no matter what paradigm is preferred. Note, too, that words for ‘goat’ show an incredible resilience to reconstructional fixation and enter the same general semantic field as the present item. An inferred Hurrian noun *ḫul(a) (Kronasser 1967: 45) very closely resembles the Anatolian material, and several different scenarios are thus conceivable depending on the mutual compatibility of the IE forms; most probable seems the proposition that wool entered the IE languages as a loan on at least two different occasions, very likely from the Caucasian and Middle Eastern cultures, where it also appears early as borrowing into Sumerian with specialized meaning (Sahala 2009: 11f.); the apparent lack of Semitic comparanda is in this regard interesting."
